user_id,event_timestamp,event_name,failure_reason,content_id
U-01,2026-05-01T09:00:00,sign_up,,
U-01,2026-05-01T09:30:00,subscription_start,,
U-01,2026-05-02T20:15:00,content_play,,DZ-101
U-01,2026-05-10T21:00:00,content_play,,DZ-102
U-01,2026-06-01T03:00:00,payment_failed,card_expired,
U-02,2026-05-03T10:00:00,sign_up,,
U-02,2026-05-03T10:20:00,subscription_start,,
U-02,2026-05-04T19:00:00,content_play,,DZ-201
U-02,2026-06-03T03:00:00,payment_failed,insufficient_funds,
U-02,2026-06-05T11:00:00,payment_succeeded,,
U-03,2026-05-05T12:00:00,sign_up,,
U-03,2026-05-05T12:30:00,subscription_start,,
U-03,2026-05-06T22:00:00,content_play,,DZ-101
U-03,2026-05-20T21:30:00,content_play,,DZ-303
U-03,2026-06-05T03:00:00,payment_failed,card_expired,
U-04,2026-05-07T09:00:00,sign_up,,
U-04,2026-05-07T09:40:00,subscription_start,,
U-04,2026-05-08T20:00:00,content_play,,DZ-104
U-04,2026-06-07T03:00:00,payment_failed,hard_decline,
U-05,2026-05-09T15:00:00,sign_up,,
U-05,2026-05-09T15:30:00,subscription_start,,
U-05,2026-05-10T21:00:00,content_play,,DZ-105
U-05,2026-06-09T03:00:00,payment_failed,insufficient_funds,
U-05,2026-06-10T09:00:00,payment_succeeded,,
