user_id,event_timestamp,event_name,feature_name,trial_length
U-01,2026-06-01T09:00:00,sign_up,,14
U-01,2026-06-01T09:05:00,trial_start,,14
U-01,2026-06-01T09:30:00,feature_used,snippet_run,14
U-01,2026-06-02T10:00:00,login,,14
U-01,2026-06-02T10:15:00,feature_used,repo_linked,14
U-01,2026-06-04T11:00:00,feature_used,deploy_preview,14
U-01,2026-06-05T09:00:00,invite_sent,,14
U-01,2026-06-12T16:00:00,subscription_start,,14
U-02,2026-06-03T08:00:00,sign_up,,14
U-02,2026-06-03T08:04:00,trial_start,,14
U-02,2026-06-03T08:40:00,feature_used,snippet_run,14
U-02,2026-06-06T14:00:00,login,,14
U-02,2026-06-10T15:00:00,feature_used,repo_linked,14
U-03,2026-06-05T10:00:00,sign_up,,14
U-03,2026-06-05T10:03:00,trial_start,,14
U-03,2026-06-07T12:00:00,login,,14
U-04,2026-06-08T09:00:00,sign_up,,14
U-04,2026-06-08T09:06:00,trial_start,,14
U-04,2026-06-08T09:45:00,feature_used,snippet_run,14
U-04,2026-06-09T10:00:00,feature_used,deploy_preview,14
U-04,2026-06-11T11:00:00,invite_sent,,14
U-04,2026-06-20T13:00:00,subscription_start,,14
U-05,2026-06-10T11:00:00,sign_up,,14
U-05,2026-06-10T11:02:00,trial_start,,14
U-05,2026-06-10T11:30:00,feature_used,repo_linked,14
U-05,2026-06-13T09:00:00,login,,14
U-05,2026-06-15T10:00:00,feature_used,snippet_run,14
U-06,2026-06-12T14:00:00,sign_up,,14
U-06,2026-06-12T14:05:00,trial_start,,14
U-06,2026-06-14T15:00:00,login,,14
U-06,2026-06-18T16:00:00,feature_used,deploy_preview,14
U-06,2026-06-25T17:00:00,subscription_start,,14
