user_id,event_timestamp,event_name,content_id
U-01,2026-03-01T08:00:00,subscription_start,
U-01,2026-03-01T08:05:00,purchase,
U-01,2026-05-04T07:00:00,login,
U-01,2026-05-04T07:05:00,content_play,W-CORE-01
U-01,2026-05-11T07:00:00,login,
U-01,2026-05-11T07:04:00,content_play,W-CORE-02
U-01,2026-05-18T07:00:00,login,
U-01,2026-06-10T07:00:00,login,
U-01,2026-07-05T07:00:00,login,
U-02,2026-04-01T09:00:00,subscription_start,
U-02,2026-04-01T09:03:00,purchase,
U-02,2026-05-02T18:00:00,login,
U-02,2026-05-02T18:05:00,content_play,W-YOGA-01
U-02,2026-05-09T18:00:00,login,
U-02,2026-05-16T18:00:00,login,
U-02,2026-06-20T18:00:00,login,
U-03,2026-02-10T10:00:00,subscription_start,
U-03,2026-02-10T10:04:00,purchase,
U-03,2026-03-10T10:00:00,purchase,
U-03,2026-03-15T07:30:00,session_start,
U-03,2026-04-20T07:30:00,session_start,
U-04,2026-01-05T11:00:00,subscription_start,
U-04,2026-01-05T11:02:00,purchase,
U-04,2026-02-05T11:00:00,purchase,
U-04,2026-04-28T19:00:00,session_start,
U-05,2026-05-01T12:00:00,subscription_start,
U-05,2026-05-01T12:03:00,purchase,
U-05,2026-07-01T06:30:00,login,
U-05,2026-07-01T06:35:00,content_play,W-HIIT-01
U-05,2026-07-08T06:30:00,login,
U-05,2026-07-08T06:34:00,content_play,W-HIIT-02
U-06,2026-06-01T13:00:00,subscription_start,
U-06,2026-06-01T13:04:00,purchase,
U-06,2026-07-06T20:00:00,login,
U-06,2026-07-06T20:05:00,content_play,W-CORE-01
U-06,2026-07-10T20:00:00,session_start,
