account_id,event_timestamp,event_name,feature_name
ACC-01,2026-04-01T09:00:00,sign_up,
ACC-01,2026-04-01T09:05:00,trial_start,
ACC-01,2026-04-02T10:00:00,feature_used,floor_plan_editor
ACC-01,2026-04-20T11:00:00,subscription_start,
ACC-02,2026-04-03T09:00:00,sign_up,
ACC-02,2026-04-03T09:05:00,trial_start,
ACC-02,2026-04-05T14:00:00,feature_used,render_export
ACC-03,2026-04-06T09:00:00,sign_up,
ACC-03,2026-04-06T09:05:00,trial_start,
ACC-03,2026-04-06T09:40:00,feature_used,floor_plan_editor
ACC-03,2026-04-25T10:00:00,subscription_start,
ACC-04,2026-04-08T09:00:00,sign_up,
ACC-04,2026-04-08T09:05:00,trial_start,
ACC-04,2026-04-09T15:00:00,feature_used,section_view
ACC-05,2026-04-10T09:00:00,sign_up,
ACC-05,2026-04-10T09:05:00,trial_start,
ACC-05,2026-04-30T09:00:00,subscription_start,
ACC-06,2026-04-12T09:00:00,sign_up,
ACC-06,2026-04-12T09:05:00,trial_start,
ACC-06,2026-04-13T10:00:00,feature_used,floor_plan_editor
ACC-07,2026-04-14T09:00:00,sign_up,
ACC-07,2026-04-14T09:05:00,trial_start,
ACC-07,2026-04-16T11:00:00,feature_used,render_export
ACC-07,2026-05-02T09:00:00,subscription_start,
ACC-08,2026-04-17T09:00:00,sign_up,
ACC-08,2026-04-17T09:05:00,trial_start,
ACC-09,2026-04-19T09:00:00,sign_up,
ACC-09,2026-04-19T09:05:00,trial_start,
ACC-09,2026-04-20T10:00:00,feature_used,section_view
ACC-10,2026-04-22T09:00:00,sign_up,
ACC-10,2026-04-22T09:05:00,trial_start,
ACC-10,2026-05-05T09:00:00,subscription_start,
ACC-11,2026-04-24T09:00:00,sign_up,
ACC-11,2026-04-24T09:05:00,trial_start,
ACC-11,2026-04-26T13:00:00,feature_used,floor_plan_editor
ACC-12,2026-04-27T09:00:00,sign_up,
ACC-12,2026-04-27T09:05:00,trial_start,
