user_id,event_timestamp,event_name,feature_name
U-01,2026-06-01T09:00:00,sign_up,
U-01,2026-06-01T10:00:00,kyc_complete,
U-01,2026-06-02T11:00:00,money_transfer_sent,
U-01,2026-06-20T12:00:00,login,
U-02,2026-06-03T09:00:00,sign_up,
U-02,2026-06-03T09:40:00,kyc_complete,
U-02,2026-06-05T10:00:00,money_transfer_sent,
U-03,2026-06-05T08:00:00,sign_up,
U-03,2026-06-06T09:00:00,login,
U-04,2026-06-08T14:00:00,sign_up,
U-04,2026-06-08T15:00:00,kyc_complete,
U-04,2026-06-10T16:00:00,money_transfer_sent,
U-04,2026-06-28T17:00:00,login,
U-05,2026-06-12T09:00:00,sign_up,
U-05,2026-06-13T10:00:00,kyc_complete,
U-06,2026-06-15T11:00:00,sign_up,
U-06,2026-06-15T12:00:00,kyc_complete,
U-06,2026-06-16T13:00:00,money_transfer_sent,
U-07,2026-06-02T09:00:00,sign_up,
U-07,2026-06-02T10:00:00,kyc_complete,
U-07,2026-06-04T11:00:00,money_transfer_sent,
U-07,2026-06-25T12:00:00,login,
U-07,2026-06-30T13:00:00,nps_response,score_4
U-08,2026-06-18T09:00:00,sign_up,
U-08,2026-06-19T10:00:00,kyc_complete,
U-08,2026-06-21T11:00:00,money_transfer_sent,
