user_id,event_timestamp,event_name,content_id
U-01,2026-05-01T09:00:00,sign_up,
U-01,2026-05-01T09:10:00,trial_start,
U-01,2026-05-01T20:00:00,content_play,TRK-1001
U-01,2026-05-03T21:00:00,content_play,TRK-1042
U-01,2026-05-08T10:00:00,subscription_start,
U-01,2026-05-12T22:00:00,content_play,TRK-2007
U-02,2026-05-02T11:00:00,sign_up,
U-02,2026-05-02T11:05:00,trial_start,
U-02,2026-05-02T19:00:00,content_play,TRK-1001
U-02,2026-05-09T12:00:00,subscription_start,
U-03,2026-05-04T14:00:00,sign_up,
U-03,2026-05-04T14:10:00,trial_start,
U-03,2026-05-05T18:00:00,content_play,TRK-3310
U-03,2026-05-06T18:30:00,content_play,TRK-3311
U-04,2026-05-06T09:00:00,sign_up,
U-04,2026-05-06T09:15:00,trial_start,
U-04,2026-05-06T20:00:00,content_play,TRK-1042
U-04,2026-05-13T09:00:00,subscription_start,
U-04,2026-05-20T21:00:00,content_play,TRK-4400
U-05,2026-05-08T16:00:00,sign_up,
U-05,2026-05-08T16:05:00,trial_start,
