user_id,event_timestamp,event_name,item_id,value
U-01,2026-05-02T10:00:00,session_start,,
U-01,2026-05-02T10:02:00,view_item,SKU-101,
U-01,2026-05-02T10:06:00,add_to_cart,SKU-101,
U-01,2026-05-02T10:10:00,begin_checkout,,
U-01,2026-05-02T10:14:00,purchase,SKU-101,890
U-02,2026-05-10T11:00:00,session_start,,
U-02,2026-05-10T11:03:00,view_item,SKU-102,
U-02,2026-05-10T11:07:00,add_to_cart,SKU-102,
U-03,2026-05-15T12:00:00,session_start,,
U-03,2026-05-15T12:04:00,view_item,SKU-103,
U-03,2026-05-15T12:09:00,view_item,SKU-104,
U-04,2026-05-20T13:00:00,session_start,,
U-04,2026-05-20T13:05:00,view_item,SKU-105,
U-04,2026-05-20T13:08:00,add_to_cart,SKU-105,
U-04,2026-05-20T13:12:00,begin_checkout,,
U-04,2026-05-20T13:15:00,purchase,SKU-105,1250
U-04,2026-06-18T09:00:00,session_start,,
U-04,2026-06-18T09:04:00,view_item,SKU-106,
U-05,2026-03-05T14:00:00,session_start,,
U-05,2026-03-05T14:03:00,view_item,SKU-107,
U-05,2026-03-05T14:07:00,add_to_cart,SKU-107,
U-05,2026-03-05T14:11:00,begin_checkout,,
U-05,2026-03-05T14:15:00,purchase,SKU-107,640
U-06,2026-06-25T15:00:00,session_start,,
U-06,2026-06-25T15:02:00,view_item,SKU-108,
U-06,2026-06-25T15:06:00,add_to_cart,SKU-108,
U-06,2026-06-25T15:09:00,begin_checkout,,
U-07,2026-07-01T16:00:00,session_start,,
U-07,2026-07-01T16:03:00,view_item,SKU-101,
