user_id,event_timestamp,event_name,level_id
U-01,2026-06-01T09:00:00,first_open,
U-01,2026-06-01T09:01:00,sign_up,
U-01,2026-06-01T09:02:00,tutorial_begin,
U-01,2026-06-01T09:06:00,tutorial_complete,
U-01,2026-06-01T09:10:00,level_complete,L-01
U-01,2026-06-02T10:00:00,session_start,
U-01,2026-06-02T10:05:00,level_complete,L-02
U-02,2026-06-03T11:00:00,first_open,
U-02,2026-06-03T11:01:00,sign_up,
U-02,2026-06-03T11:02:00,tutorial_begin,
U-02,2026-06-03T11:07:00,tutorial_complete,
U-02,2026-06-04T12:00:00,session_start,
U-02,2026-06-04T12:04:00,level_complete,L-01
U-03,2026-06-05T13:00:00,first_open,
U-03,2026-06-05T13:01:00,sign_up,
U-03,2026-06-05T13:02:00,tutorial_begin,
U-04,2026-06-07T14:00:00,first_open,
U-04,2026-06-07T14:01:00,sign_up,
U-04,2026-06-07T14:03:00,tutorial_begin,
U-04,2026-06-07T14:08:00,tutorial_complete,
U-04,2026-06-08T15:00:00,session_start,
U-04,2026-06-08T15:06:00,level_complete,L-01
U-04,2026-06-10T16:00:00,session_start,
U-04,2026-06-10T16:04:00,level_complete,L-02
U-05,2026-06-09T17:00:00,first_open,
U-05,2026-06-09T17:01:00,sign_up,
U-05,2026-06-09T17:02:00,tutorial_begin,
U-05,2026-06-09T17:09:00,tutorial_complete,
U-05,2026-06-11T18:00:00,session_start,
U-05,2026-06-11T18:05:00,level_complete,L-01
